id_station_itinerance;code_insee_commune;coordonneesXY;puissance_nominale;consolidated_longitude;consolidated_latitude;consolidated_commune;nbre_pdc
FRELCPBLOHM;68042;[7.50290400,47.60821400];225.0;7.502904;47.608214;Blotzheim;8
FRELCPECUSM;69081;[4.78311100,45.78565100];150.0;4.783111;45.785651;Écully;4
FRELCPSBARS;49267;[-0.50261700,47.48171600];150.0;-0.502617;47.481716;Saint-Barthélemy-d'Anjou;4
FRELCPAUBFV;78029;[1.85935500,48.96404000];225.0;1.859355;48.96404;Aubergenville;8
FRELCPCSRKY;38087;[4.79007700,45.58502700];150.0;4.790077;45.585027;Chasse-sur-Rhône;4
FRELCPFREEH;94034;[2.33635700,48.75416000];150.0;2.336357;48.75416;Fresnes;4
FRELCPNANHC;92050;[2.21382200,48.89196800];225.0;2.213822;48.891968;Nanterre;2
FRELCPPLRBO;92060;[2.23839200,48.77325000];150.0;2.238392;48.77325;Le Plessis-Robinson;4
FRELCPAUBVM;93001;[2.37351000,48.91973300];225.0;2.37351;48.919733;Aubervilliers;4
FRELCPORAPG;84087;[4.83868100,44.11893000];150.0;4.838681;44.11893;Orange;4
FRELCPLMAPM;72181;[0.18198600,48.03112600];225.0;0.181986;48.031126;Le Mans;8
FRELCPBORBL;33063;[-0.56711100,44.89088900];225.0;-0.567111;44.890889;Bordeaux;8
FRELCPVITHK;13117;[5.25193300,43.42547400];150.0;5.251933;43.425474;Vitrolles;4
FRELCPVERHC;78644;[1.94541400,48.75730900];150.0;1.945414;48.757309;La Verrière;4
FRELCPSFOMB;69199;[4.85455800,45.71459000];225.0;4.854558;45.71459;Saint-Fons;4
FRELCPMAUCC;78383;[1.91472400,48.76140200];150.0;1.914724;48.761402;Maurepas;4
FRELCPSDRPG;69294;[4.82215900,45.63507900];225.0;4.822159;45.635079;Sérézin-du-Rhône;8
FRELCPBOBHC;93008;[2.45702800,48.90573600];150.0;2.457028;48.905736;Bobigny;4
FRELCPSORDD;84129;[4.88630000,43.98450100];225.0;4.8863;43.984501;Sorgues;6
FRELCPGONHI;95277;[2.46338400,48.96867200];225.0;2.463384;48.968672;Gonesse;8
FRELCPPARIIT;75056;[2.35992000,48.81678400];150.0;2.35992;48.816784;Paris;4
FRELCPRENNO;35238;[-1.68291900,48.08224400];225.0;-1.682919;48.082244;Rennes;4
FRELCPEYSPC;33162;[-0.62896900,44.88076600];150.0;-0.628969;44.880766;Eysines;4
FRELCPAULCE;93005;[2.48696500,48.95119600];225.0;2.486965;48.951196;Aulnay-sous-Bois;8
FRELCPSLMPC;69288;[5.06372600,45.68819600];150.0;5.063726;45.688196;Saint-Laurent-de-Mure;4
FRELCPANGHM;49007;[-0.59341900,47.46851100];150.0;-0.593419;47.468511;Angers;4
FRELCPSJVHC;34270;[3.83571000,43.56750500];150.0;3.83571;43.567505;Saint-Jean-de-Védas;4
FRELCPPASDC;74208;[6.69171800,45.91665700];225.0;6.691718;45.916657;Passy;6
FRELCPARGHC;95018;[2.24146100,48.93517100];150.0;2.241461;48.935171;Argenteuil;4
FRELCPDECPL;59170;[3.10677900,50.34270300];225.0;3.106779;50.342703;Dechy;4
FRELCPBSGPC;77058;[2.70466000,48.83257000];150.0;2.70466;48.83257;Bussy-Saint-Georges;4
FRELCPPESPC;33318;[-0.64491500,44.78838600];150.0;-0.644915;44.788386;Pessac;4
